libjs-underscore	1.13.4~dfsg+~1.11.4-3	install ok installed
libjxl0.11	0.11.2-0.1~deb13u2	install ok installed
libk5crypto3	1.21.3-5+deb13u1	install ok installed
libkadm5clnt-mit12	1.21.3-5+deb13u1	install ok installed
libkadm5srv-mit12	1.21.3-5+deb13u1	install ok installed
libkdb5-10t64	1.21.3-5+deb13u1	install ok installed
libkeyutils1	1.6.3-6	install ok installed
libkissfft-dev	131.1.0-4.1~deb13u1	install ok installed
libkissfft-float131	131.1.0-4.1~deb13u1	install ok installed
libklibc	2.0.14-1	install ok installed
libkmod2	34.2-2	install ok installed
libkrb5-3	1.21.3-5+deb13u1	install ok installed
libkrb5-dev	1.21.3-5+deb13u1	install ok installed
libkrb5support0	1.21.3-5+deb13u1	install ok installed
libksba8	1.6.7-2+b1	install ok installed
liblapack3	3.12.1-6	install ok installed
liblastlog2-2	2.41.5-0+deb13u1	install ok installed
liblcms2-2	2.16-2+deb13u2	install ok installed
liblcms2-dev	2.16-2+deb13u2	install ok installed
libldap2	2.6.10+dfsg-1	install ok installed
libldap-dev	2.6.10+dfsg-1	install ok installed
libldb2	2:2.11.0+samba4.22.10+dfsg-0+deb13u2	install ok installed
liblerc4	4.0.0+ds-5	install ok installed
liblilv-0-0	0.24.26-1	install ok installed
liblirc0t64	0.10.2-0.10	install ok installed
liblirc-client0t64	0.10.2-0.10	install ok installed
liblirc-dev	0.10.2-0.10	install ok installed
libllvm19	1:19.1.7-3+b1	install ok installed
liblmdb0	0.9.31-1+b2	install ok installed
liblocale-gettext-perl	1.07-7+b1	install ok installed
liblognorm5	2.0.6-5	install ok installed
liblsan0	14.2.0-19	install ok installed
liblsof0	4.99.4+dfsg-2	install ok installed
libltdl7	2.5.4-4	install ok installed
libltdl-dev	2.5.4-4	install ok installed
liblz4-1	1.10.0-4	install ok installed
liblzma5	5.8.1-1+deb13u1	install ok installed
liblzo2-2	2.10-3+b1	install ok installed
liblzo2-dev	2.10-3+b1	install ok installed
libmagic1t64	1:5.46-5	install ok installed
libmagic-mgc	1:5.46-5	install ok installed
libmariadb3	1:11.8.6-0+deb13u1	install ok installed
libmariadb-dev	1:11.8.6-0+deb13u1	install ok installed
libmariadb-dev-compat	1:11.8.6-0+deb13u1	install ok installed
libmbedcrypto16	3.6.5-0.1~deb13u1	install ok installed
libmd0	1.1.0-2+b1	install ok installed
libmicrohttpd12t64	1.0.1-4	install ok installed
libmicrohttpd-dev	1.0.1-4	install ok installed
libmnl0	1.0.5-3	install ok installed
libmount1	2.41.5-0+deb13u1	install ok installed
libmount-dev	2.41.5-0+deb13u1	install ok installed
libmp3lame0	3.100-6+b3	install ok installed
libmpc3	1.3.1-1+b3	install ok installed
libmpfr6	4.2.2-1	install ok installed
libmpg123-0t64	1.32.10-1+deb13u1	install ok installed
libmtdev1t64	1.1.7-1	install ok installed
libmtdev-dev	1.1.7-1	install ok installed
libmysofa1	1.3.3+dfsg-1	install ok installed
libncurses6	6.5+20250216-2	install ok installed
libncursesw6	6.5+20250216-2	install ok installed
libnetplan1	1.1.2-7	install ok installed
libnettle8t64	3.10.1-1	install ok installed
libnewt0.52	0.52.25-1	install ok installed
libnfs14	5.0.2-1+b2	install ok installed
libnfs-dev	5.0.2-1+b2	install ok installed
libnghttp2-14	1.64.0-1.1+deb13u1	install ok installed
libnghttp2-dev	1.64.0-1.1+deb13u1	install ok installed
libnghttp3-9	1.8.0-1	install ok installed
libnghttp3-dev	1.8.0-1	install ok installed
libngtcp2-16	1.11.0-1+deb13u1	install ok installed
libngtcp2-crypto-gnutls8	1.11.0-1+deb13u1	install ok installed
libngtcp2-crypto-gnutls-dev	1.11.0-1+deb13u1	install ok installed
libngtcp2-dev	1.11.0-1+deb13u1	install ok installed
libnl-3-200	3.7.0-2	install ok installed
libnl-genl-3-200	3.7.0-2	install ok installed
libnl-route-3-200	3.7.0-2	install ok installed
libnorm1t64	1.5.9+dfsg-3.1+b2	install ok installed
libnpth0t64	1.8-3	install ok installed
libnspr4	2:4.36-1	install ok installed
libnss3	2:3.110-1+deb13u4	install ok installed
libntfs-3g89t64	1:2022.10.3-5+deb13u2	install ok installed
libnuma1	2.0.19-1	install ok installed
libogg0	1.3.5-3+b2	install ok installed
libonig5	6.9.9-1+b1	install ok installed
libopengl0	1.7.0-1+b2	install ok installed
libopengl-dev	1.7.0-1+b2	install ok installed
libopenjp2-7	2.5.3-2.1~deb13u2	install ok installed
libopenmpt0t64	0.7.13-1+b1	install ok installed
libopus0	1.5.2-2	install ok installed
libp11-kit0	0.25.5-3	install ok installed
libp11-kit-dev	0.25.5-3	install ok installed
libp8-platform2	2.1.0.1+dfsg1-4+b3	install ok installed
libpam0g	1.7.0-5	install ok installed
libpam-modules	1.7.0-5	install ok installed
libpam-modules-bin	1.7.0-5	install ok installed
libpam-runtime	1.7.0-5	install ok installed
libpam-systemd	257.13-1~deb13u1	install ok installed
libpango-1.0-0	1.56.3-1	install ok installed
libpangocairo-1.0-0	1.56.3-1	install ok installed
libpangoft2-1.0-0	1.56.3-1	install ok installed
libparted2t64	3.6-5	install ok installed
libpci3	1:3.13.0-2	install ok installed
libpciaccess0	0.17-3+b3	install ok installed
libpciaccess-dev	0.17-3+b3	install ok installed
libpcre2-16-0	10.46-1~deb13u1	install ok installed
libpcre2-32-0	10.46-1~deb13u1	install ok installed
libpcre2-8-0	10.46-1~deb13u1	install ok installed
libpcre2-dev	10.46-1~deb13u1	install ok installed
libpcre2-posix3	10.46-1~deb13u1	install ok installed
libpcsclite1	2.3.3-1	install ok installed
libperl5.40	5.40.1-6	install ok installed
libpgm-5.3-0t64	5.3.128~dfsg-2.1+b1	install ok installed
libpipeline1	1.5.8-1	install ok installed
libpipewire-0.3-0t64	1.4.2-1	install ok installed
libpipewire-0.3-dev	1.4.2-1	install ok installed
libpixman-1-0	0.44.0-3	install ok installed
libpkgconf3	1.8.1-4	install ok installed
libplacebo349	7.349.0-3	install ok installed
libplist-2.0-4	2.6.0-2+b1	install ok installed
libplist-dev	2.6.0-2+b1	install ok installed
libpng16-16t64	1.6.48-1+deb13u5	install ok installed
libpng-dev	1.6.48-1+deb13u5	install ok installed
libpocketsphinx3	0.8+5prealpha+1-15+b4	install ok installed
libpopt0	1.19+dfsg-2	install ok installed
libpostproc58	7:7.1.5-0+deb13u1	install ok installed
libpostproc-dev	7:7.1.5-0+deb13u1	install ok installed
libproc2-0	2:4.0.4-9	install ok installed
libpsl5t64	0.21.2-1.1+b1	install ok installed
libpsl-dev	0.21.2-1.1+b1	install ok installed
libpugixml1v5	1.14-2	install ok installed
libpulse0	17.0+dfsg1-2+b1	install ok installed
libpulse-dev	17.0+dfsg1-2+b1	install ok installed
libpulse-mainloop-glib0	17.0+dfsg1-2+b1	install ok installed
libpython3.13	3.13.5-2+deb13u4	install ok installed
libpython3.13-dev	3.13.5-2+deb13u4	install ok installed
libpython3.13-minimal	3.13.5-2+deb13u4	install ok installed
libpython3.13-stdlib	3.13.5-2+deb13u4	install ok installed
libpython3-dev	3.13.5-1	install ok installed
libpython3-stdlib	3.13.5-1	install ok installed
