adwaita-icon-theme  48.1-1
libpipewire-0.3-0t64:arm64  1.4.2-1
libpipewire-0.3-dev:arm64  1.4.2-1
libpixman-1-0:arm64  0.44.0-3
libplacebo349:arm64  7.349.0-3
libplist-2.0-4:arm64  2.6.0-2+b1
libplist-dev:arm64  2.6.0-2+b1
libpng16-16t64:arm64  1.6.48-1+deb13u5
libpng-dev:arm64  1.6.48-1+deb13u5
libpocketsphinx3:arm64  0.8+5prealpha+1-15+b4
libpostproc58:arm64  7:7.1.5-0+deb13u1
libpostproc-dev:arm64  7:7.1.5-0+deb13u1
libpsl-dev:arm64  0.21.2-1.1+b1
libpugixml1v5:arm64  1.14-2
libpulse0:arm64  17.0+dfsg1-2+b1
libpulse-dev:arm64  17.0+dfsg1-2+b1
libpulse-mainloop-glib0:arm64  17.0+dfsg1-2+b1
libpython3.13:arm64  3.13.5-2+deb13u4
libpython3.13-dev:arm64  3.13.5-2+deb13u4
libpython3-dev:arm64  3.13.5-1
libqdox-java  1.12.1-4
librabbitmq4:arm64  0.15.0-1+deb13u2
librav1e0.7:arm64  0.7.1-9+b2
librist4:arm64  0.2.11+dfsg-1
librsvg2-2:arm64  2.60.0+dfsg-1
librsvg2-bin  2.60.0+dfsg-1
librtmp-dev:arm64  2.4+20151223.gitfa8646d.1-2+b5
librubberband2:arm64  3.3.0+dfsg-2+b3
libselinux1-dev:arm64  3.8.1-1
libsensors5:arm64  1:3.6.2-2
libsensors-config  1:3.6.2-2
libsepol-dev:arm64  3.8.1-1
libserd-0-0:arm64  0.32.4-1
libservlet-api-java  4.0.1-2
libset-scalar-perl  1.29-3
libshairplay0:arm64  0.9.0~git20180824.096b61a+dfsg1-3+b2
libshairplay-dev:arm64  0.9.0~git20180824.096b61a+dfsg1-3+b2
libsharpyuv0:arm64  1.5.0-0.1
libshine3:arm64  3.1.1-2+b2
libsigsegv2:arm64  2.14-1+b2
libsm6:arm64  2:1.2.6-1
libsmbclient0:arm64  2:4.22.10+dfsg-0+deb13u2
libsmbclient-dev:arm64  2:4.22.10+dfsg-0+deb13u2
libsm-dev:arm64  2:1.2.6-1
libsnappy1v5:arm64  1.2.2-1
libsndfile1:arm64  1.2.2-2+deb13u1
libsndio7.0:arm64  1.10.0-0.1
libsndio-dev:arm64  1.10.0-0.1
libsord-0-0:arm64  0.16.18-1
libsoxr0:arm64  0.1.3-4+b2
libspa-0.2-dev:arm64  1.4.2-1
libspa-0.2-modules:arm64  1.4.2-1
libspdlog1.15:arm64  1:1.15.2+ds-2
libspdlog-dev:arm64  1:1.15.2+ds-2
libspeex1:arm64  1.2.1-3
libsphinxbase3t64:arm64  0.8+5prealpha+1-21+b1
libspiro1:arm64  1:20240903-1
libsqlite3-dev:arm64  3.46.1-7+deb13u1
libsratom-0-0:arm64  0.6.18-1
libsrt1.5-gnutls:arm64  1.5.4-1+deb13u1
libssh2-1-dev:arm64  1.11.1-1+deb13u1
libssh-4:arm64  0.11.5-0+deb13u1
libsvtav1enc2:arm64  2.3.0+dfsg-1
libswresample5:arm64  7:7.1.5-0+deb13u1
libswresample-dev:arm64  7:7.1.5-0+deb13u1
libswscale8:arm64  7:7.1.5-0+deb13u1
libswscale-dev:arm64  7:7.1.5-0+deb13u1
libsysprof-capture-4-dev:arm64  48.0-2
