libhawtjni-runtime-java  1.18-1
libhogweed6t64:arm64  3.10.1-1
libhowardhinnant-date-dev:arm64  3.0.3+ds-2
libhwasan0:arm64  14.2.0-19
libhwy1t64:arm64  1.2.0-2+b2
libice6:arm64  2:1.1.1-1
libice-dev:arm64  2:1.1.1-1
libicu76:arm64  76.1-4
libicu-dev:arm64  76.1-4
libidn2-0:arm64  2.3.8-2
libidn2-dev:arm64  2.3.8-2
libiniparser4:arm64  4.2.6-1
libinput10:arm64  1.28.1-1+deb13u1
libinput-bin  1.28.1-1+deb13u1
libinput-dev:arm64  1.28.1-1+deb13u1
libisl23:arm64  0.27-1
libiso9660-12:arm64  2.2.0-4.1~deb13u1
libiso9660++1:arm64  2.2.0-4.1~deb13u1
libiso9660-dev  2.2.0-4.1~deb13u1
libiso9660++-dev  2.2.0-4.1~deb13u1
libitm1:arm64  14.2.0-19
libjansi1-java  1.18-3.1
libjansi-java  2.4.1-2
libjansi-native-java  1.8-2
libjansson4:arm64  2.14-2+b3
libjbig0:arm64  2.1-6.1+b2
libjline2-java  2.14.6-6
libjpeg62-turbo:arm64  1:2.1.5-4
libjpeg62-turbo-dev:arm64  1:2.1.5-4
libjpeg-dev:arm64  1:2.1.5-4
libjq1:arm64  1.7.1-6+deb13u3
libjs-jquery  3.6.1+dfsg+~3.5.14-1
libjsoncpp26:arm64  1.9.6-3
libjsp-api-java  2.3.4-3
libjs-sphinxdoc  8.1.3-5
libjs-underscore  1.13.4~dfsg+~1.11.4-3
libjxl0.11:arm64  0.11.2-0.1~deb13u2
libk5crypto3:arm64  1.21.3-5+deb13u1
libkadm5clnt-mit12:arm64  1.21.3-5+deb13u1
libkadm5srv-mit12:arm64  1.21.3-5+deb13u1
libkdb5-10t64:arm64  1.21.3-5+deb13u1
libkeyutils1:arm64  1.6.3-6
libkissfft-dev:arm64  131.1.0-4.1~deb13u1
libkissfft-float131:arm64  131.1.0-4.1~deb13u1
libklibc:arm64  2.0.14-1
libkmod2:arm64  34.2-2
libkrb5-3:arm64  1.21.3-5+deb13u1
libkrb5-dev:arm64  1.21.3-5+deb13u1
libkrb5support0:arm64  1.21.3-5+deb13u1
libksba8:arm64  1.6.7-2+b1
liblapack3:arm64  3.12.1-6
